obj_index,sn_lens_idx,sn_source_idx,Lens name,zl,zs,thetaE,thetaeff,thetaap,sigma_ap,dsigma_ap,delta,Survey name,sn_lens_MUERR,sn_lens_Index,sn_lens_original_index,sn_lens_MU,sn_lens_zHD,sn_source_MUERR,sn_source_Index,sn_source_original_index,sn_source_MU,sn_source_zHD
37,244,858,SDSSJ1402+6321,0.205,0.481,1.35,2.7,1.5,267,17,2.1424,SLACS,0.1936,244,244,39.82392,0.19991,0.1767,858,858,42.05468,0.45993
38,229,834,SDSSJ1403+0006,0.189,0.473,0.83,1.46,1.5,213,17,2.1295,SLACS,0.0959,229,229,39.3871,0.18148,0.1602,834,834,42.18827,0.4536
39,377,1715,SDSSJ1416+5136,0.299,0.811,1.37,1.43,1.5,240,25,2.1131,SLACS,0.1653,377,377,40.8731,0.29001,0.1877,1715,1715,43.89282,0.82172
40,170,1114,SDSSJ1420+6019,0.063,0.535,1.04,2.06,1.5,205,4,2.0663,SLACS,0.1021,170,170,37.1436,0.06533,0.1998,1114,1114,42.37732,0.55146
41,390,1224,SDSSJ1430+4105,0.285,0.575,1.52,2.55,1.5,322,32,2.1825,SLACS,0.1816,390,390,40.89113,0.29376,0.1477,1224,1224,42.71024,0.58357
42,376,1702,SDSSJ1436-0000,0.285,0.805,1.12,2.24,1.5,224,17,2.1454,SLACS,0.1191,376,376,40.72403,0.28895,0.1821,1702,1702,43.49664,0.81237
45,547,1570,SDSSJ1525+3327,0.358,0.717,1.31,2.9,1.5,264,26,2.1095,SLACS,0.2071,547,547,41.64355,0.34776,0.2643,1570,1570,42.95925,0.70548
47,216,1023,SDSSJ1538+5817,0.143,0.531,1.0,1.58,1.5,189,12,2.263,SLACS,192.4317,216,216,39.93288,0.1484,0.1647,1023,1023,42.20845,0.52494
48,306,1247,SDSSJ1621+3931,0.245,0.602,1.29,2.14,1.5,236,20,2.1897,SLACS,0.0839,306,306,40.38161,0.24171,0.2089,1247,1247,43.15886,0.59156
49,243,1010,SDSSJ1627-0053,0.208,0.524,1.23,1.98,1.5,290,14,2.1942,SLACS,0.197,243,243,40.11619,0.19902,180.3598,1010,1010,43.19956,0.51956
50,296,1636,SDSSJ1630+4520,0.248,0.793,1.78,1.96,1.5,276,16,2.1386,SLACS,0.1108,296,296,40.59127,0.23532,0.1753,1636,1636,43.43701,0.75421
51,275,1406,SDSSJ1636+4707,0.228,0.675,1.09,1.68,1.5,231,15,2.1451,SLACS,0.2129,275,275,40.20316,0.22305,0.2129,1406,1406,43.03445,0.64453
52,208,1533,SDSSJ2238-0754,0.137,0.713,1.27,2.33,1.5,198,11,2.1292,SLACS,0.1961,208,208,38.98171,0.13349,0.161,1533,1533,43.13319,0.68828
53,270,873,SDSSJ2300+0022,0.228,0.463,1.24,1.83,1.5,279,17,2.0981,SLACS,0.1358,270,270,40.0411,0.21986,0.2053,873,873,42.1394,0.4659
54,217,1055,SDSSJ2303+1422,0.155,0.517,1.62,3.28,1.5,255,16,2.0625,SLACS,0.0979,217,217,39.34373,0.1494,0.1998,1055,1055,42.36618,0.53191
55,195,1074,SDSSJ2321-0939,0.082,0.532,1.6,4.11,1.5,249,8,2.0653,SLACS,0.0922,195,195,37.67811,0.07931,0.2039,1074,1074,42.47376,0.53805
56,232,1729,SDSSJ2341+0000,0.186,0.807,1.44,3.15,1.5,207,13,2.1303,SLACS,0.1941,232,232,40.03362,0.18444,0.2422,1729,1729,43.80318,0.83813
57,282,1812,SDSSJ0143-1006,0.221,1.1046,1.23,3.24,1.5,203,17,2.0272,S4TM,0.1527,282,282,40.23671,0.22806,0.228,1812,1812,44.00793,1.04436
58,218,1655,SDSSJ0159-0006,0.1584,0.7477,0.92,1.58,1.5,216,18,2.2183,S4TM,0.1013,218,218,39.18191,0.15026,0.1481,1655,1655,43.44308,0.7725
59,483,1754,SDSSJ0324+0045,0.321,0.9199,0.55,1.67,1.5,183,19,2.0139,S4TM,0.1097,483,483,41.0983,0.33352,0.1963,1754,1754,43.6187,0.87344
60,846,1341,SDSSJ0324-0110,0.4456,0.6239,0.63,2.23,1.5,310,38,1.9924,S4TM,0.3367,846,846,41.653,0.45587,0.2188,1341,1341,42.85226,0.62023
61,210,1795,SDSSJ0753+3416,0.1371,0.9628,1.23,1.89,1.5,208,12,2.1606,S4TM,0.1421,210,210,39.34775,0.14136,0.1696,1795,1795,44.20208,0.97242
62,215,1629,SDSSJ0754+1927,0.1534,0.7401,1.04,1.46,1.5,193,16,2.2782,S4TM,0.0844,215,215,39.29882,0.14812,0.1337,1629,1629,43.12881,0.75011
63,205,1761,SDSSJ0757+1956,0.1206,0.8326,1.62,3.67,1.5,206,11,2.0392,S4TM,206.3178,205,205,41.38301,0.11621,0.1503,1761,1761,43.66049,0.88352
65,214,1098,SDSSJ0847+2348,0.1551,0.5327,0.96,1.54,1.5,199,16,2.1638,S4TM,0.1602,214,214,39.16841,0.14802,0.173,1098,1098,42.33816,0.54762
66,207,1270,SDSSJ0851+0505,0.1276,0.6371,0.91,1.35,1.5,175,11,2.1463,S4TM,0.1062,207,207,38.87889,0.13051,0.2189,1270,1270,42.81219,0.60073
67,393,621,SDSSJ0920+3028,0.2881,0.3918,0.7,4.25,1.5,297,17,2.0382,S4TM,0.1629,393,393,40.88079,0.29471,0.1464,621,621,41.29234,0.37043
68,454,828,SDSSJ0955+3014,0.3214,0.4671,0.54,2.95,1.5,271,33,2.0682,S4TM,0.1305,454,454,41.20068,0.32394,0.3427,828,828,42.5177,0.45305
69,238,1710,SDSSJ0956+5539,0.1959,0.8483,1.17,1.96,1.5,188,11,2.1924,S4TM,0.1067,238,238,39.74864,0.19555,0.2312,1710,1710,43.47335,0.81852
70,225,810,SDSSJ1010+3124,0.1668,0.4245,1.14,3.26,1.5,221,11,2.0978,S4TM,0.0826,225,225,39.29306,0.17273,0.1662,810,810,41.96821,0.44791
71,201,276,SDSSJ1041+0112,0.1006,0.2172,0.6,2.5,1.5,200,7,2.0946,S4TM,0.1256,201,201,38.35683,0.10442,0.1073,276,276,40.17738,0.22398
74,209,1757,SDSSJ1056+4141,0.1343,0.8318,0.72,1.81,1.5,157,10,1.996,S4TM,0.1589,209,209,38.89598,0.13537,0.1846,1757,1757,43.79315,0.87971
75,230,995,SDSSJ1101+1523,0.178,0.5169,1.18,0.89,1.5,270,15,2.1779,S4TM,0.096,230,230,39.8153,0.18216,0.1417,995,995,42.40727,0.51244
76,227,1559,SDSSJ1116+0729,0.1697,0.686,0.82,2.44,1.5,190,11,2.1707,S4TM,256.203,227,227,41.63537,0.178,0.1572,1559,1559,43.06474,0.69873
79,221,1438,SDSSJ1142+2509,0.164,0.6595,0.79,1.51,1.5,159,10,2.1393,S4TM,0.1843,221,221,39.12071,0.16008,0.1429,1438,1438,42.81356,0.65253
80,202,330,SDSSJ1144+0436,0.1036,0.2551,0.76,1.22,1.5,207,14,2.2612,S4TM,0.1444,202,202,38.31943,0.10543,0.1271,330,330,40.58782,0.26162
81,199,1197,SDSSJ1213+2930,0.0906,0.5954,1.35,1.73,1.5,232,7,2.1345,S4TM,0.0994,199,199,38.14556,0.09333,0.1443,1197,1197,42.59296,0.57697
82,200,1053,SDSSJ1301+0834,0.0902,0.5331,1.0,1.25,1.5,178,8,2.2195,S4TM,0.2395,200,200,38.19696,0.09394,0.1387,1053,1053,42.35334,0.53166
83,246,613,SDSSJ1330+1750,0.2074,0.3717,1.01,2.85,1.5,250,12,2.0408,S4TM,0.1771,246,246,39.94322,0.20587,0.1147,613,613,41.11399,0.36774
84,165,1624,SDSSJ1403+3309,0.0625,0.772,1.02,2.0,1.5,190,6,2.2126,S4TM,0.0716,165,165,37.36659,0.06099,0.2713,1624,1624,43.4209,0.74855
85,224,1479,SDSSJ1430+6104,0.1688,0.6537,1.0,2.24,1.5,180,15,2.1899,S4TM,0.0994,224,224,39.59667,0.17267,0.2147,1479,1479,43.14936,0.66487
